Club,GamesPlayed,TotalPoints,TotalWins,TotalLosses,Draws,Goals,GoalsAgainst,GoalsDifferential,PenaltyKickTaken,PenaltyKickConceded,Fouls,FoulsSuffered,Offsides,YellowCards,RedCards,Year,StadiumCapacity,TotalSpectators,AverageAttendance,Matches,SoldOut,Capacity %,Win/lossRatio
Atlanta,34,51,13,9,12,66,53,13,4,4,409,380,58,71,4,2023,73.019,299.85,49.975,6,-,0.684,1.4444444444444444
Austin,34,39,10,15,9,49,55,-6,2,3,340,363,59,58,2,2023,20.738,207.38,20.738,10,10,1.0,0.6666666666666666
Charlotte,34,43,10,11,13,45,52,-7,5,7,455,368,44,87,0,2023,75.412,208.987,34.831,6,-,0.462,0.9090909090909091
Chicago,34,40,10,14,10,39,51,-12,2,11,393,430,69,80,6,2023,24.955,150.815,18.852,8,1,0.755,0.7142857142857143
Cincinnati,34,69,20,5,9,57,39,18,9,5,422,429,53,75,5,2023,26.0,201.722,25.215,8,1,0.97,4.0
Colorado,34,27,5,17,12,26,54,-28,4,3,403,320,42,83,4,2023,18.086,75.964,15.193,5,-,0.84,0.29411764705882354
Columbus,34,57,16,9,9,67,46,21,7,4,384,341,52,59,1,2023,20.011,81.865,20.466,4,3,1.023,1.7777777777777777
D.C.,34,40,10,14,10,45,49,-4,2,5,463,408,74,69,2,2023,20.0,145.729,18.216,8,-,0.911,0.7142857142857143
Dallas,34,46,11,10,13,41,37,4,1,3,384,366,59,68,2,2023,20.5,152.741,19.093,8,-,0.931,1.1
Houston,34,51,14,11,9,51,38,13,6,6,435,381,59,92,5,2023,22.039,100.954,16.826,6,-,0.763,1.2727272727272727
Kansas City,34,44,12,14,8,48,51,-3,6,7,334,376,44,57,4,2023,21.0,180.888,25.841,7,-,1.231,0.8571428571428571
LA,34,36,8,14,12,51,67,-16,5,4,364,413,42,72,4,2023,22.0,132.749,22.125,6,5,1.006,0.5714285714285714
LAFC,34,52,14,10,10,54,39,15,9,5,443,370,61,73,1,2023,27.0,114.691,22.938,5,1,0.85,1.4
Miami,34,34,9,18,7,41,54,-13,6,1,412,363,62,83,3,2023,21.55,147.353,21.05,7,-,0.977,0.5
Minnesota,34,41,10,13,11,46,51,-5,5,1,342,323,72,58,1,2023,19.6,156.633,19.579,8,5,0.999,0.7692307692307693
Montreal,34,41,12,17,5,36,52,-16,3,3,416,360,59,69,3,2023,20.341,78.476,19.619,4,-,0.965,0.7058823529411765
Nashville,34,49,13,11,10,39,32,7,5,5,376,369,82,70,6,2023,30.0,285.38,28.538,10,1,0.951,1.1818181818181819
New England,34,55,15,9,10,58,46,12,3,4,353,374,59,50,2,2023,20.0,161.658,32.332,5,3,1.617,1.6666666666666667
New York,34,43,11,13,10,36,39,-3,4,7,497,447,51,87,4,2023,25.0,19.284,19.284,1,-,0.771,0.8461538461538461
New York City,34,41,9,11,14,35,39,-4,3,4,405,428,68,80,1,2023,30.321,50.187,25.094,2,-,0.828,0.8181818181818182
Orlando,34,63,18,7,9,55,39,16,5,3,394,451,51,68,1,2023,25.5,183.491,22.936,8,-,0.9,2.5714285714285716
Philadelphia,34,55,15,9,10,57,41,16,11,6,465,368,90,82,5,2023,18.5,131.683,18.812,7,7,1.017,1.6666666666666667
